iter	Passed	Remaining
400	17838	4404
401	17880	4358
402	17922	4313
403	17965	4269
404	18005	4223
405	18046	4178
406	18087	4133
407	18126	4087
408	18165	4041
409	18203	3995
410	18240	3949
411	18276	3903
412	18314	3858
413	18354	3812
414	18395	3767
415	18434	3722
416	18476	3677
417	18518	3632
418	18559	3587
419	18598	3542
420	18637	3497
421	18677	3452
422	18714	3406
423	18754	3361
424	18793	3316
425	18832	3271
426	18874	3226
427	18912	3181
428	18961	3138
429	19003	3093
430	19047	3049
431	19084	3004
432	19126	2959
433	19165	2914
434	19203	2869
435	19239	2824
436	19277	2779
437	19314	2734
438	19353	2689
439	19392	2644
440	19434	2600
441	19473	2555
442	19514	2510
443	19558	2466
444	19599	2422
445	19639	2377
446	19681	2333
447	19718	2288
448	19754	2243
449	19792	2199
450	19831	2154
451	19867	2109
452	19907	2065
453	19945	2020
454	19980	1976
455	20017	1931
456	20055	1887
457	20093	1842
458	20131	1798
459	20166	1753
460	20205	1709
461	20241	1664
462	20277	1620
463	20317	1576
464	20408	1536
465	20455	1492
466	20499	1448
467	20545	1404
468	20586	1360
469	20630	1316
470	20673	1272
471	20713	1228
472	20752	1184
473	20789	1140
474	20829	1096
475	20870	1052
476	20909	1008
477	20946	964
478	20985	920
479	21022	875
480	21061	831
481	21100	787
482	21138	744
483	21180	700
484	21224	656
485	21262	612
486	21302	568
487	21340	524
488	21382	480
489	21431	437
490	21471	393
491	21511	349
492	21555	306
493	21600	262
494	21644	218
495	21691	174
496	21733	131
497	21773	87
498	21817	43
499	21863	0
