iter	MultiClass
0	1.310675112
1	1.117188378
2	0.9739166294
3	0.863842134
4	0.7738653042
5	0.7046266173
6	0.6430153586
7	0.5900362887
8	0.5446245566
9	0.5056366545
10	0.47059818
11	0.4374332175
12	0.4102494165
13	0.385108174
14	0.3636820673
15	0.3401251786
16	0.3180248935
17	0.3046841737
18	0.2901331991
19	0.2759424742
20	0.2606353433
21	0.2486521182
22	0.2388550816
23	0.2297500685
24	0.2197252141
25	0.2121174464
26	0.2049748601
27	0.1995000616
28	0.193766453
29	0.1871782466
30	0.182301783
31	0.1780190044
32	0.1738081029
33	0.1699989176
34	0.1662099752
35	0.1617930737
36	0.1586424981
37	0.1555034808
38	0.1526449152
39	0.1485474811
40	0.1470356492
41	0.1444882968
42	0.1432587912
43	0.1401292406
44	0.1383157147
45	0.1361720707
46	0.1344687563
47	0.1332160474
48	0.1311011852
49	0.129392689
50	0.1287697642
51	0.127001683
52	0.1256972985
53	0.1246471122
54	0.1237998084
55	0.1231016855
56	0.1217539342
57	0.1207297536
58	0.1200624397
59	0.1191415903
60	0.1184682349
61	0.1179781308
62	0.1175780718
63	0.1164801563
64	0.1160454605
65	0.1148007721
66	0.1144773945
67	0.1139441384
68	0.1132805641
69	0.1126971361
70	0.1116857485
71	0.1111345116
72	0.1108080306
73	0.1099276276
74	0.1095547375
75	0.1092408927
76	0.1086151756
77	0.1082753773
78	0.1078883559
79	0.1073795807
80	0.1052242517
81	0.1045964359
82	0.1037609763
83	0.1033918862
84	0.1031782843
85	0.1015279141
86	0.101230685
87	0.1003934032
88	0.1001261274
89	0.09975003553
90	0.09960543131
91	0.09871580358
92	0.09858050046
93	0.09816909062
94	0.09783436754
95	0.09757568069
96	0.09741479906
97	0.0960263453
98	0.09592829172
99	0.09532438027
100	0.09517796756
101	0.09459052645
102	0.09376739887
103	0.09311478626
104	0.09290725641
105	0.09167253526
106	0.09125756048
107	0.09110957741
108	0.09092143247
109	0.09065851272
110	0.09012389958
111	0.08930078081
112	0.08874521019
113	0.08850711378
114	0.08822860091
115	0.08807786069
116	0.08789364578
117	0.08765808559
118	0.08724701872
119	0.08693604138
120	0.08668143909
121	0.08638347937
122	0.08596658044
123	0.08560059242
124	0.08456150832
125	0.08436102121
126	0.08424824595
127	0.08410740028
128	0.08384555905
129	0.08343172355
130	0.08324318901
131	0.08309786715
132	0.08183625584
133	0.08133854988
134	0.08074193702
135	0.08033121148
136	0.08020361594
137	0.08004180751
138	0.07983059814
139	0.07965301576
140	0.07946528242
141	0.07926764123
142	0.07905873828
143	0.07894155855
144	0.07876202516
145	0.0784576911
146	0.07829640981
147	0.07726737443
148	0.07711131126
149	0.07676357487
150	0.07642421252
151	0.07611344849
152	0.07597381579
153	0.07581765393
154	0.0750533461
155	0.07490752305
156	0.07467634167
157	0.07444026204
158	0.07432803711
159	0.07427473062
160	0.07413889953
161	0.07400635029
162	0.07353613386
163	0.07342626179
164	0.07313591896
165	0.07300044966
166	0.07287977679
167	0.07264953764
168	0.07243729597
169	0.07223772742
170	0.07178343263
171	0.07167441326
172	0.07153457953
173	0.07145527917
174	0.07135421987
175	0.07120503893
176	0.07106159688
177	0.07061915141
178	0.07038041604
179	0.07025622037
180	0.07001544412
181	0.06995479402
182	0.06967427798
183	0.06885863145
184	0.06874188103
185	0.06868589016
186	0.06856584871
187	0.06842650922
188	0.06825083579
189	0.06811006632
190	0.06800788028
191	0.06792816673
192	0.06775344534
193	0.06763418497
194	0.06743132411
195	0.06728991212
196	0.06716378557
197	0.0670703244
198	0.06655369671
199	0.0662515227
200	0.06595604824
201	0.06581719597
202	0.06570388309
203	0.06559561599
204	0.06546958908
205	0.06539485851
206	0.06530185468
207	0.06512387589
208	0.06499037978
209	0.06485094319
210	0.06478213233
211	0.06471179484
212	0.06461500061
213	0.06449445674
214	0.06441232389
215	0.06430895102
216	0.0642284058
217	0.06404700853
218	0.06389582717
219	0.06372227232
220	0.06344961025
221	0.06336986847
222	0.06320193573
223	0.06309439383
224	0.06302353805
225	0.06276736847
226	0.06261286
227	0.06240958464
228	0.06218869238
229	0.06210119947
230	0.06202313011
231	0.06187087331
232	0.061791185
233	0.06099173253
234	0.06043718837
235	0.06027079294
236	0.06016973911
237	0.05929616598
238	0.05913360378
239	0.05903681496
240	0.05882619289
241	0.05869714389
242	0.05857290736
243	0.05849981429
244	0.05842072146
245	0.05831109711
246	0.05817142178
247	0.05800832563
248	0.05791620285
249	0.05777342518
250	0.05765803046
251	0.05749375015
252	0.05736177971
253	0.05722762218
254	0.05677441749
255	0.05663184132
256	0.0565649824
257	0.05643066393
258	0.05635523366
259	0.05596258772
260	0.05585016859
261	0.0556950951
262	0.05556833661
263	0.05548583769
264	0.05528493095
265	0.05522405004
266	0.05508856286
267	0.05498114136
268	0.05489648556
269	0.05480363045
270	0.05468531364
271	0.05456444971
272	0.05438253373
273	0.05426971571
274	0.05422020047
275	0.05415934595
276	0.0540494403
277	0.05395565918
278	0.0538026889
279	0.0535670092
280	0.05347254244
281	0.05320219957
282	0.05283279928
283	0.05270607553
284	0.05264992426
285	0.05250006356
286	0.05236216003
287	0.05227898679
